id,zanr
101005,Fantasy
101185,Sports
101185,Alternative
101185,Individual
101185,Skateboarding
101185,Skate / Skateboard
100009,Action
100009,Shooter
100009,First-Person
100009,Sci-Fi
100009,Arcade
112945,Action Adventure
112945,Fantasy
112945,General
115095,Action
115095,Shooter
115095,First-Person
115095,Sci-Fi
115095,Arcade
108679,Strategy
108679,Turn-Based
108679,Sci-Fi
108679,4X
107442,Role-Playing
107442,Action RPG
107442,Console-style RPG
107442,Japanese-Style
107442,Western-Style
102872,Action
102872,Shooter
102872,First-Person
102872,Modern
102872,Arcade
550740,Strategy
550740,Real-Time
550740,General
143285,Driving
143285,Racing
143285,Simulation
143285,GT / Street
143285,Automobile
160732,Action Adventure
160732,Horror
103961,Action
103961,Shooter
103961,First-Person
103961,Tactical
103961,Modern
124988,Miscellaneous
124988,Action Adventure
124988,Fantasy
124988,Compilation
504789,Action
504789,Platformer
504789,2D
103653,Sports
103653,Traditional
103653,Football
103653,Sim
161089,Sports
161089,Alternative
161089,Skateboarding
111277,Action
111277,Fighting
111277,3D
111277,2D
103373,Role-Playing
103373,First-Person
103373,Western-Style
131797,Action Adventure
131797,Fantasy
131797,Open-World
111864,Action
111864,Platformer
111864,2D
100257,Role-Playing
100257,General
100257,PC-style RPG
100257,Western-Style
142953,Action
142953,Shooter
142953,Third-Person
142953,Sci-Fi
142953,Arcade
106731,Action
106731,Shooter
106731,First-Person
106731,Sci-Fi
106731,Arcade
100262,Role-Playing
100262,PC-style RPG
100262,Western-Style
112944,Action Adventure
112944,Fantasy
112944,General
161870,Action
161870,Platformer
161870,2D
101857,Action
101857,Shooter
101857,First-Person
101857,Modern
101857,Arcade
500866,Action
500866,Platformer
500866,2D
160689,Action Adventure
160689,Horror
104091,Role-Playing
104091,PC-style RPG
104091,Western-Style
160992,Role-Playing
160992,Console-style RPG
233467,Action
233467,Platformer
233467,2D
553611,Racing
553611,Simulation
553611,Automobile
222211,Action
222211,Platformer
222211,2D
510324,Role-Playing
510324,General
104275,Sports
104275,Traditional
104275,Soccer
104275,Sim
519025,Strategy
519025,Turn-Based
519025,General
239945,Action RPG
239945,Role-Playing
239945,Action Adventure
239945,General
239945,Open-World
517422,Action
517422,Platformer
517422,2D
535235,Role-Playing
535235,Action RPG
227894,Action RPG
227894,Role-Playing
160960,Action
160960,Platformer
160960,2D
491476,Action Adventure
491476,Survival
182289,Action
182289,Shooter
182289,First-Person
182289,Modern
182289,Arcade
227892,Action RPG
227892,Role-Playing
506432,Action
506432,Platformer
506432,2D
259250,General
259250,Miscellaneous
104157,Driving
104157,Racing
104157,Arcade
104157,Kart
104157,Automobile
103005,Action
103005,Shooter
103005,First-Person
103005,Third-Person
103005,Historic
103005,Tactical
103005,Arcade
103121,Sports
103121,Traditional
103121,Team
103121,Football
103121,Sim
160695,Sports
160695,Traditional
160695,Golf
160695,Arcade
160646,Action
160646,Platformer
160646,3D
113956,Action Adventure
113956,Historic
113956,Open-World
161666,Driving
161666,Racing
161666,GT / Street
177658,Sports
177658,Traditional
177658,Team
177658,Basketball
177658,Sim
103093,Simulation
103093,Miscellaneous
103093,Virtual Life
103093,Virtual
532035,Simulation
532035,Virtual
532035,Virtual Life
534897,Role-Playing
534897,Massively Multiplayer
124785,Role-Playing
124785,Massively Multiplayer Online
124785,Massively Multiplayer
124785,Fantasy
161820,Action
161820,Shooter
161820,First-Person
161820,Sci-Fi
161554,Sports
161554,Traditional
161554,Football
161554,Sim
160729,Action
160729,Platformer
160729,3D
112314,Action
112314,Action Adventure
112314,Beat-'Em-Up
112314,Fantasy
112314,Linear
261305,Action RPG
261305,Role-Playing
493706,Action
493706,Shooter
493706,First-Person
493706,Tactical
182287,Action
182287,Shooter
182287,First-Person
182287,Modern
182287,Arcade
101260,Action Adventure
101260,Fantasy
106099,Action
106099,Shooter
106099,First-Person
106099,Tactical
106099,Modern
180961,Sports
180961,Traditional
180961,Team
180961,Soccer
180961,Sim
113295,Miscellaneous
113295,Puzzle
113295,Action
113295,General
162149,Role-Playing
162149,Console-style RPG
417233,Action
417233,Platformer
417233,2D
103171,Sports
103171,Alternative
103171,Skateboarding
161988,Action
161988,Fighting
161988,2D
160624,Action
160624,Platformer
160624,3D
160768,Action
160768,Shooter
160768,Third-Person
160768,Modern
113322,Role-Playing
113322,Action RPG
113322,Console-style RPG
113322,Japanese-Style
182340,Driving
182340,Racing
182340,Simulation
182340,Motorcycle
182340,Automobile
182340,Street
113555,Action Adventure
113555,Modern
113555,Open-World
180960,Sports
180960,Traditional
180960,Team
180960,Soccer
180960,Sim
535861,Role-Playing
535861,Action RPG
191710,Action
191710,Platformer
191710,2D
115034,Sports
115034,Traditional
115034,Team
115034,Soccer
115034,Sim
103037,Action
103037,Platformer
103037,3D
102732,Sports
102732,Traditional
102732,Basketball
102732,Arcade
160984,Sports
160984,Traditional
160984,Tennis
102931,Strategy
102931,Real-Time
102931,Fantasy
102931,General
110356,Role-Playing
110356,First-Person
110356,Western-Style
231926,Action Adventure
231926,Fantasy
231926,Open-World
103666,Sports
103666,Traditional
103666,Football
103666,Sim
108737,Action
108737,Shooter
108737,First-Person
108737,Sci-Fi
108737,Arcade
546613,Puzzle
546613,Stacking
108017,Action Adventure
108017,Fantasy
108017,Open-World
103544,Sports
103544,Traditional
103544,Baseball
103544,Sim
161330,Sports
161330,Alternative
161330,Skateboarding
160919,Miscellaneous
160919,Rhythm
160919,Dancing
102870,Sports
102870,Traditional
102870,Team
102870,Ice Hockey
102870,Sim
105285,Strategy
105285,Turn-Based
105285,Modern
